序号,时间,敌人,距离(m),扣血,结果,算法,区间(m),水平,上预判,下预判,弹速,实测弹速,命中耗时(s),枪灵,抑制%,预测坐标,抑制坐标,实际坐标,偏差(3D/水平/垂直),水平沿向偏差,垂直方向
1,13:42:55,StekIo,30.0,-60,命中,GM自研,30-40,5.3,5.6,5.8,465,303.4,0.099,否,100%,"(497.3,248.5,418.8)","(497.3,248.5,418.8)","(496.2,248.5,418.0)",1.4/1.4/0.0,-1.4,平
2,13:42:56,StekIo,31.2,脱靶,脱靶,GM自研,30-40,5.3,5.6,5.8,465,0.0,0.000,否,100%,"(503.5,248.5,432.6)","(503.5,248.5,432.6)","(53.2,-249.3,-100.7)",857.3/698.0/-497.8,-644.0,平
3,13:43:25,StekIo,26.0,-10,命中,GM自研,20-30,5.1,5.5,5.7,470,591.6,0.044,否,100%,"(486.1,248.5,482.7)","(486.1,248.5,482.7)","(485.2,248.5,483.4)",1.1/1.1/0.0,-1.1,平
4,13:43:48,StekIo,43.0,-60,命中,GM自研,40-50,5.4,5.7,5.9,460,356.0,0.121,否,100%,"(469.0,248.5,388.8)","(469.0,248.5,388.8)","(468.0,248.5,388.6)",1.0/1.0/0.0,-1.0,平
5,13:43:49,StekIo,43.8,脱靶,脱靶,GM自研,40-50,5.4,5.7,5.9,460,0.0,0.000,否,100%,"(479.8,248.5,395.4)","(479.8,248.5,395.4)","(56.2,-217.2,-106.1)",804.9/656.5/-465.7,-631.7,平
6,13:44:35,StekIo,45.2,-30,命中,GM自研,40-50,5.4,5.7,5.9,460,515.9,0.088,否,100%,"(447.9,248.5,521.9)","(447.9,248.5,521.9)","(447.6,248.5,520.9)",1.1/1.1/0.0,-1.1,平
7,13:44:36,StekIo,46.3,脱靶,脱靶,GM自研,40-50,5.4,5.7,5.9,460,0.0,0.000,否,100%,"(458.7,248.5,537.5)","(458.7,248.5,537.5)","(55.5,-186.1,-90.1)",863.4/746.0/-434.6,-735.0,平
8,13:44:58,StekIo,13.1,-20,命中,GM自研,10-20,4.9,5.3,5.6,475,18.9,0.696,否,100%,"(356.1,248.5,450.1)","(356.1,248.5,450.1)","(361.4,248.5,460.2)",11.4/11.4/0.0,9.1,平
9,13:44:59,StekIo,17.5,脱靶,脱靶,GM自研,10-20,4.9,5.3,5.6,475,0.0,0.000,否,100%,"(356.7,248.5,473.7)","(356.7,248.5,473.7)","(50.9,-233.2,-103.1)",811.4/652.9/-481.7,-265.0,平
10,13:45:50,StekIo,21.8,-30,命中,GM自研,20-30,5.1,5.5,5.7,470,493.5,0.044,否,100%,"(420.2,248.5,485.5)","(420.2,248.5,485.5)","(420.2,248.5,485.6)",0.1/0.1/0.0,-0.1,平
11,13:45:50,StekIo,23.2,脱靶,脱靶,GM自研,20-30,5.1,5.5,5.7,470,0.0,0.000,否,100%,"(429.8,248.5,478.3)","(429.8,248.5,478.3)","(56.5,-183.8,-104.8)",816.3/692.4/-432.4,-39.2,平
12,13:46:09,StekIo,11.7,-20,命中,GM自研,10-20,4.9,5.3,5.6,475,15.8,0.742,否,100%,"(292.7,248.5,529.6)","(292.7,248.5,529.6)","(285.8,248.5,519.1)",12.6/12.6/0.0,7.7,平
13,13:46:10,StekIo,14.7,脱靶,脱靶,GM自研,10-20,4.9,5.3,5.6,475,0.0,0.000,否,100%,"(290.7,248.5,507.1)","(290.7,248.5,507.1)","(55.7,-237.9,-103.4)",815.2/654.2/-486.4,427.8,平
14,13:46:29,StekIo,20.2,-50,命中,GM自研,20-30,5.1,5.5,5.7,470,368.3,0.055,否,100%,"(470.9,248.5,345.6)","(470.9,248.5,345.6)","(471.3,248.5,345.5)",0.4/0.4/0.0,-0.4,平
15,13:46:29,StekIo,21.7,-10,命中,GM自研,20-30,5.1,5.5,5.7,470,398.4,0.054,否,100%,"(461.2,244.8,343.8)","(461.2,244.8,343.8)","(461.1,248.5,343.7)",3.8/0.1/3.8,0.1,下降
16,13:46:30,StekIo,21.6,脱靶,脱靶,GM自研,20-30,5.1,5.5,5.7,470,0.0,0.000,否,100%,"(460.2,248.5,343.2)","(460.2,248.5,343.2)","(56.9,-264.1,-98.8)",787.9/598.3/-512.6,0.0,平
17,13:47:04,StekIo,32.3,-20,命中,GM自研,30-40,5.3,5.6,5.8,465,329.5,0.098,否,100%,"(496.9,248.5,346.2)","(496.9,248.5,346.2)","(497.1,248.5,345.7)",0.5/0.5/0.0,-0.5,平
18,13:47:05,StekIo,30.7,脱靶,脱靶,GM自研,30-40,5.3,5.6,5.8,465,0.0,0.000,否,100%,"(487.4,248.5,352.1)","(487.4,248.5,352.1)","(53.1,-172.6,-108.5)",760.3/633.0/-421.1,48.4,平
19,13:47:22,StekIo,34.6,-40,命中,GM自研,30-40,5.3,5.6,5.8,465,319.2,0.108,否,100%,"(465.5,248.5,312.7)","(465.5,248.5,312.7)","(466.1,248.5,312.7)",0.6/0.6/0.0,-0.6,平
20,13:47:22,StekIo,35.6,-10,命中,GM自研,30-40,5.3,5.6,5.8,465,647.9,0.055,否,100%,"(453.1,248.5,319.2)","(453.1,248.5,319.2)","(455.3,248.5,317.8)",2.6/2.6/0.0,-2.6,平
21,13:47:23,StekIo,36.3,脱靶,脱靶,GM自研,30-40,5.3,5.6,5.8,465,0.0,0.000,否,100%,"(445.8,248.5,327.5)","(445.8,248.5,327.5)","(57.9,-202.9,-90.4)",727.3/570.2/-451.5,-93.5,平
22,13:47:50,StekIo,38.1,-80,命中,GM自研,30-40,5.3,5.6,5.8,465,356.8,0.107,否,100%,"(461.8,248.5,424.2)","(461.8,248.5,424.2)","(462.5,248.5,424.3)",0.7/0.7/0.0,-0.7,平
23,13:47:50,StekIo,38.9,脱靶,脱靶,GM自研,30-40,5.3,5.6,5.8,465,0.0,0.000,否,100%,"(450.6,248.5,419.8)","(450.6,248.5,419.8)","(54.7,-177.8,-105.9)",784.1/658.1/-426.3,586.6,平
24,13:48:55,StekIo,13.7,脱靶,脱靶,GM自研,10-20,4.9,5.3,5.6,475,0.0,0.000,否,100%,"(470.2,248.5,491.0)","(470.2,248.5,491.0)","(51.4,-250.8,-104.7)",883.0/728.2/-499.4,698.2,平
25,13:49:31,StekIo,92.6,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(461.1,248.5,386.5)","(461.1,248.5,386.5)","(61.4,-179.4,-88.4)",753.9/620.7/-427.9,-162.1,平
26,13:49:49,StekIo,53.0,-50,命中,GM自研,50-60,5.6,5.8,6.0,455,612.9,0.086,否,100%,"(514.1,248.5,566.9)","(514.1,248.5,566.9)","(516.2,248.5,565.2)",2.7/2.7/0.0,-2.3,平
27,13:49:50,StekIo,49.4,-20,命中,GM自研,40-50,5.4,5.7,5.9,460,453.2,0.109,否,100%,"(503.6,248.5,563.5)","(503.6,248.5,563.5)","(505.1,248.5,562.9)",1.6/1.6/0.0,-1.2,平
28,13:49:54,StekIo,64.7,脱靶,脱靶,GM自研,60-70,5.8,6.0,6.2,450,0.0,0.000,否,100%,"(466.0,248.5,489.1)","(466.0,248.5,489.1)","(59.6,-196.9,-108.4)",848.9/722.6/-445.4,460.1,平
29,13:50:18,StekIo,52.6,-20,命中,GM自研,50-60,5.6,5.8,6.0,455,536.1,0.098,否,100%,"(440.1,248.5,509.6)","(440.1,248.5,509.6)","(438.3,248.5,508.4)",2.1/2.1/0.0,-2.1,平
30,13:50:19,StekIo,42.9,-50,命中,GM自研,40-50,5.4,5.7,5.9,460,397.6,0.108,否,100%,"(452.9,248.5,514.5)","(452.9,248.5,514.5)","(452.1,248.5,514.3)",0.9/0.9/0.0,-0.9,平
31,13:50:20,StekIo,32.8,脱靶,脱靶,GM自研,30-40,5.3,5.6,5.8,465,0.0,0.000,否,100%,"(467.3,248.5,516.4)","(467.3,248.5,516.4)","(61.5,-200.0,-91.7)",857.7/731.1/-448.5,-429.5,平
32,13:50:38,StekIo,35.9,-20,命中,GM自研,30-40,5.3,5.6,5.8,465,328.2,0.109,否,100%,"(588.2,248.5,427.0)","(588.2,248.5,427.0)","(585.6,248.5,426.9)",2.6/2.6/0.0,-1.9,平
33,13:50:39,StekIo,28.2,-40,命中,GM自研,20-30,5.1,5.5,5.7,470,861.2,0.033,否,100%,"(574.4,248.5,434.5)","(574.4,248.5,434.5)","(576.4,248.5,433.4)",2.2/2.2/0.0,-2.2,平
34,13:50:39,StekIo,886.1,脱靶,脱靶,GM自研,290-300,1.2,1.9,2.0,300,0.0,0.000,否,100%,"(286.5,-305.7,-247.4)","(286.5,-305.7,-247.4)","(58.9,-225.1,-104.2)",280.8/268.9/80.6,0.0,平
35,13:50:52,StekIo,86.3,-10,命中,GM自研,80-90,5.9,6.1,6.2,440,419.0,0.206,否,100%,"(402.7,248.5,350.8)","(402.7,248.5,350.8)","(402.7,248.5,349.5)",1.3/1.3/0.0,-1.3,平
36,13:50:52,StekIo,84.2,-10,命中,GM自研,80-90,5.9,6.1,6.2,440,427.9,0.197,否,100%,"(397.6,248.5,358.7)","(397.6,248.5,358.7)","(400.2,248.5,359.2)",2.6/2.6/0.0,-0.4,平
37,13:50:53,StekIo,72.6,脱靶,脱靶,GM自研,70-80,5.8,6.1,6.3,445,0.0,0.000,否,100%,"(405.5,248.5,374.5)","(405.5,248.5,374.5)","(60.2,-206.0,-92.6)",737.6/580.9/-454.5,-560.3,平
38,13:51:09,StekIo,23.0,-50,命中,GM自研,20-30,5.1,5.5,5.7,470,535.0,0.043,否,100%,"(522.2,248.5,417.7)","(522.2,248.5,417.7)","(522.4,248.5,417.1)",0.6/0.6/0.0,-0.6,平
39,13:51:10,StekIo,22.5,脱靶,脱靶,GM自研,20-30,5.1,5.5,5.7,470,0.0,0.000,否,100%,"(510.6,248.5,415.9)","(510.6,248.5,415.9)","(53.7,-177.2,-109.6)",816.1/696.3/-425.7,688.7,平
40,13:51:27,StekIo,123.9,脱靶,脱靶,GM自研,120-130,5.4,5.3,5.5,420,0.0,0.000,否,100%,"(368.3,248.5,392.6)","(368.3,248.5,392.6)","(372.2,248.5,404.3)",12.3/12.3/0.0,12.3,平
41,13:51:28,StekIo,105.3,-30,命中,GM自研,100-110,5.8,5.8,6.0,430,444.6,0.237,否,100%,"(377.3,248.5,416.7)","(377.3,248.5,416.7)","(376.8,248.5,415.3)",1.5/1.5/0.0,-1.5,平
42,13:51:29,StekIo,96.8,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(383.0,248.5,427.2)","(383.0,248.5,427.2)","(391.6,248.5,440.0)",15.4/15.4/0.0,15.3,平
43,13:51:30,StekIo,76.8,-20,命中,GM自研,70-80,5.8,6.1,6.3,445,414.0,0.186,否,100%,"(399.7,248.5,449.5)","(399.7,248.5,449.5)","(398.9,248.5,448.4)",1.3/1.3/0.0,-1.3,平
44,13:51:31,StekIo,66.4,-10,命中,GM自研,60-70,5.8,6.0,6.2,450,465.5,0.143,否,100%,"(410.6,248.5,459.1)","(410.6,248.5,459.1)","(410.3,248.5,458.9)",0.4/0.4/0.0,-0.4,平
45,13:51:32,StekIo,56.1,-20,命中,GM自研,50-60,5.6,5.8,6.0,455,534.3,0.105,否,100%,"(422.9,248.5,466.9)","(422.9,248.5,466.9)","(421.6,248.5,466.2)",1.5/1.5/0.0,-1.5,平
